match_id,date,season,home_team,away_team,home_elo,away_elo,elo_diff,home_form_l5,away_form_l5,home_form_l5_home,away_form_l5_away,home_avg_goals_l10,away_avg_goals_l10,home_avg_conceded_l10,away_avg_conceded_l10,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_total_matches,home_advantage,home_shots_efficiency_l10,away_shots_efficiency_l10,home_corner_dominance_l10,away_corner_dominance_l10,home_discipline_risk_l10,away_discipline_risk_l10,home_first_half_strength_l10,away_first_half_strength_l10,home_defensive_pressure_l10,away_defensive_pressure_l10,outcome
D1_20210828_Stuttgart_Freiburg,2021-08-28,2122,Stuttgart,Freiburg,1499.0,1516.3,-17.299999999999955,0.5,0.75,0.5,0.5,2.5,1.0,2.5,0.5,0.33,0.33,0.33,0,0.4381,0.4878,0.4545,0.5789,0.3913,1.5,2.5,0.4,0.5,9.0,13.5,2
D1_20210828_Mainz_Greuther Furth,2021-08-28,2122,Mainz,Greuther Furth,1499.0,1484.3,14.700000000000045,0.5,0.25,0.5,0.5,0.5,1.0,1.0,3.0,0.33,0.33,0.33,0,0.5171,0.2174,0.3214,0.48,0.4375,2.0,2.5,1.0,0.0,11.5,13.0,0
D1_20210828_Bayern Munich_Hertha,2021-08-28,2122,Bayern Munich,Hertha,1516.3,1469.0,47.299999999999955,0.75,0.0,0.5,0.5,2.0,1.0,1.5,2.5,0.33,0.33,0.33,0,0.6683,0.4211,0.3913,0.6111,0.5294,0.5,1.5,0.25,0.5,8.5,19.5,0
D1_20210828_Bielefeld_Ein Frankfurt,2021-08-28,2122,Bielefeld,Ein Frankfurt,1499.7,1483.6,16.100000000000136,0.5,0.25,0.5,0.5,0.5,1.0,0.5,2.5,0.33,0.33,0.33,0,0.3488,0.3158,0.25,0.2222,0.5294,4.0,1.5,1.0,0.5,11.0,7.5,1
D1_20210828_Augsburg_Leverkusen,2021-08-28,2122,Augsburg,Leverkusen,1484.4,1515.6,-31.199999999999818,0.25,0.75,0.5,0.5,0.0,2.5,2.0,0.5,0.33,0.33,0.33,0,0.301,0.0,0.3448,0.3889,0.7647,2.0,2.5,0.5,0.6,8.5,12.0,2
D1_20210828_FC Koln_Bochum,2021-08-28,2122,FC Koln,Bochum,1499.7,1501.0,-1.2999999999999545,0.5,0.5,0.5,0.5,2.5,1.0,2.0,0.5,0.33,0.33,0.33,0,0.4859,0.32,0.375,0.5,0.25,2.5,4.5,0.2,0.5,14.0,14.0,0
D1_20210829_Union Berlin_M'gladbach,2021-08-29,2122,Union Berlin,M'gladbach,1501.0,1484.4,16.59999999999991,0.5,0.25,0.5,0.5,1.5,0.5,1.5,2.5,0.33,0.33,0.33,0,0.4025,0.6842,0.5,0.3333,0.2857,3.0,2.0,0.6667,1.0,6.5,6.5,0
D1_20210829_Wolfsburg_RB Leipzig,2021-08-29,2122,Wolfsburg,RB Leipzig,1531.0,1501.0,30.0,1.0,0.5,0.5,0.5,1.5,2.0,0.5,0.5,0.33,0.33,0.33,0,0.346,0.3636,0.3171,0.6,0.7083,1.0,1.0,0.3333,0.25,9.5,10.5,0
D1_20210911_Freiburg_FC Koln,2021-09-11,2122,Freiburg,FC Koln,1536.0,1511.3,24.700000000000045,0.8333,0.6667,0.5,0.5,1.6667,2.3333,1.0,1.6667,0.33,0.33,0.33,0,0.4482,0.4722,0.2826,0.3889,0.5,2.0,2.3333,0.8,0.1429,12.3333,16.3333,1
D1_20210911_Greuther Furth_Wolfsburg,2021-09-11,2122,Greuther Furth,Wolfsburg,1473.4,1541.3,-67.89999999999986,0.1667,1.0,0.5,0.5,0.6667,1.3333,3.0,0.3333,0.33,0.33,0.33,0,0.2842,0.2778,0.3415,0.4074,0.5517,2.3333,2.0,0.0,0.25,15.6667,12.3333,2
D1_20210911_Hoffenheim_Mainz,2021-09-11,2122,Hoffenheim,Mainz,1502.8,1509.9,-7.100000000000136,0.5,0.6667,0.5,0.5,2.6667,1.3333,1.6667,0.6667,0.33,0.33,0.33,0,0.4629,0.5161,0.35,0.5455,0.5278,2.0,2.0,0.375,0.75,9.3333,12.3333,2
D1_20210911_Leverkusen_Dortmund,2021-09-11,2122,Leverkusen,Dortmund,1534.7,1511.9,22.799999999999955,0.8333,0.6667,0.5,0.5,3.0,3.0,0.6667,2.0,0.33,0.33,0.33,0,0.365,0.3571,0.4074,0.68,0.6774,2.0,2.0,0.5556,0.3333,12.0,13.3333,2
D1_20210911_Union Berlin_Augsburg,2021-09-11,2122,Union Berlin,Augsburg,1511.9,1465.3,46.600000000000136,0.6667,0.1667,0.75,0.5,1.6667,0.3333,1.3333,2.6667,0.33,0.33,0.33,0,0.6319,0.5484,0.1667,0.3333,0.4231,2.6667,1.3333,0.8,1.0,6.3333,9.0,1
D1_20210911_RB Leipzig_Bayern Munich,2021-09-11,2122,RB Leipzig,Bayern Munich,1490.7,1525.9,-35.200000000000045,0.3333,0.8333,0.5,0.5,1.3333,3.0,0.6667,1.0,0.33,0.33,0.33,0,0.3723,0.283,0.4,0.6316,0.6552,1.3333,0.3333,0.25,0.3333,11.3333,7.3333,2
D1_20210912_Bochum_Hertha,2021-09-12,2122,Bochum,Hertha,1489.4,1459.4,30.0,0.3333,0.0,0.5,0.0,1.0,0.6667,1.0,3.3333,0.33,0.33,0.33,0,0.3864,0.2692,0.3871,0.3462,0.4286,3.3333,1.0,0.3333,0.5,13.0,14.3333,2
D1_20210912_M'gladbach_Bielefeld,2021-09-12,2122,M'gladbach,Bielefeld,1473.6,1494.5,-20.90000000000009,0.1667,0.5,0.5,0.5,0.6667,0.6667,2.3333,0.6667,0.33,0.33,0.33,0,0.5735,0.4,0.3333,0.4242,0.3077,1.3333,2.6667,0.5,0.5,9.3333,13.0,0
D1_20210912_Ein Frankfurt_Stuttgart,2021-09-12,2122,Ein Frankfurt,Stuttgart,1488.8,1479.3,9.5,0.3333,0.3333,0.5,0.5,1.0,2.3333,2.0,2.6667,0.33,0.33,0.33,0,0.4602,0.25,0.4655,0.52,0.5938,2.0,1.6667,0.6667,0.5714,9.3333,10.6667,1
D1_20210917_Hertha_Greuther Furth,2021-09-17,2122,Hertha,Greuther Furth,1481.1,1455.9,25.199999999999818,0.25,0.125,0.5,0.0,1.25,0.5,2.75,2.75,0.33,0.33,0.33,0,0.4985,0.4444,0.3023,0.3784,0.4,1.5,2.25,0.6,0.0,13.0,15.5,0
D1_20210918_Augsburg_M'gladbach,2021-09-18,2122,Augsburg,M'gladbach,1471.6,1486.0,-14.400000000000091,0.25,0.375,0.0,0.0,0.25,1.25,2.0,2.0,0.33,0.33,0.33,0,0.1402,0.2703,0.3509,0.4167,0.425,1.5,1.25,1.0,0.4,9.25,11.5,0
D1_20210918_Bayern Munich_Bochum,2021-09-18,2122,Bayern Munich,Bochum,1544.8,1467.7,77.09999999999991,0.875,0.25,1.0,0.0,3.25,1.0,1.0,1.5,0.33,0.33,0.33,0,0.9383,0.3836,0.2667,0.6757,0.4571,0.25,2.5,0.3077,0.25,7.75,14.0,0
D1_20210918_Bielefeld_Hoffenheim,2021-09-18,2122,Bielefeld,Hoffenheim,1482.1,1482.6,-0.5,0.375,0.375,0.5,0.5,0.75,2.0,1.25,1.75,0.33,0.33,0.33,0,0.3621,0.3529,0.3721,0.3636,0.5238,2.25,2.0,0.6667,0.375,12.25,11.0,1
